Name,Age,MP,ThreePoints,AST,FG,FT,TOV,DRB,FGA,TRB,ORB,FTA,STL,BLK,PF,PointsPerGame,Salary,Season
Gordon Hayward,28,25.9,1.1,3.4,4.1,2.2,1.5,3.8,8.8,4.5,0.7,2.6,0.9,0.3,1.4,11.5,31214295.0,NBA_2019
Terry Rozier,24,22.7,1.5,2.9,3.3,0.9,0.9,3.5,8.4,3.9,0.4,1.2,0.9,0.3,1.3,9.0,3050390.0,NBA_2019
Aron Baynes,32,16.1,0.4,1.1,2.1,1.0,0.8,3.0,4.4,4.7,1.7,1.2,0.2,0.7,2.5,5.6,5193600.0,NBA_2019
Daniel Theis,26,13.8,0.4,1.0,2.2,0.8,0.5,2.1,4.0,3.4,1.3,1.2,0.3,0.6,2.4,5.7,1378242.0,NBA_2019
Semi Ojeleye,24,10.6,0.5,0.4,1.2,0.4,0.3,1.1,2.8,1.5,0.4,0.7,0.2,0.1,0.8,3.3,1378242.0,NBA_2019
Brad Wanamaker,29,9.5,0.4,1.6,1.4,0.7,0.5,1.1,2.9,1.1,0.1,0.8,0.3,0.1,0.9,3.9,838464.0,NBA_2019
Robert Williams,21,8.8,0.0,0.2,1.1,0.3,0.3,1.7,1.6,2.5,0.8,0.5,0.3,1.3,1.1,2.5,1654440.0,NBA_2019
Guerschon Yabusele,23,6.1,0.2,0.4,0.9,0.4,0.4,0.7,1.9,1.3,0.6,0.5,0.2,0.2,0.8,2.3,2667600.0,NBA_2019
Greg Monroe,28,2.5,0.0,0.5,1.5,0.0,0.0,0.0,2.5,1.5,1.5,0.0,0.0,0.0,0.0,3.0,122344.0,NBA_2019
Victor Oladipo,26,31.9,2.1,5.2,6.9,2.9,2.3,5.0,16.3,5.6,0.6,3.9,1.7,0.3,2.0,18.8,21000000.0,NBA_2019
Bojan Bogdanović,29,31.8,2.0,2.0,6.4,3.0,1.7,3.7,13.0,4.1,0.4,3.8,0.9,0.0,1.7,18.0,10500000.0,NBA_2019
Wesley Matthews,32,31.5,2.1,2.4,3.5,1.8,1.3,2.3,9.1,2.8,0.5,2.1,0.9,0.2,2.4,10.9,737715.0,NBA_2019
Thaddeus Young,30,30.7,0.6,2.5,5.5,1.1,1.5,4.1,10.4,6.5,2.4,1.7,1.5,0.4,2.4,12.6,13764045.0,NBA_2019
Myles Turner,22,28.6,1.0,1.6,5.1,2.0,1.4,5.8,10.5,7.2,1.4,2.7,0.8,2.7,2.6,13.3,3410284.0,NBA_2019
Darren Collison,31,28.2,1.0,6.0,4.1,2.1,1.6,2.6,8.7,3.1,0.5,2.5,1.4,0.1,1.8,11.2,10000000.0,NBA_2019
Cory Joseph,27,25.2,0.7,3.9,2.8,0.4,1.0,2.9,6.7,3.4,0.5,0.5,1.1,0.3,1.6,6.5,7945000.0,NBA_2019
Domantas Sabonis,22,24.8,0.1,2.9,5.6,2.8,2.2,6.8,9.5,9.3,2.5,3.9,0.6,0.4,3.2,14.1,2659800.0,NBA_2019
Tyreke Evans,29,20.3,1.1,2.4,3.7,1.7,1.7,2.4,9.6,2.9,0.5,2.3,0.8,0.3,1.7,10.2,12400000.0,NBA_2019
Doug McDermott,27,17.4,1.1,0.9,2.7,0.9,0.5,1.2,5.5,1.4,0.2,1.0,0.2,0.1,1.4,7.3,7333334.0,NBA_2019
Aaron Holiday,22,12.9,0.9,1.7,2.1,0.8,0.8,1.2,5.2,1.3,0.1,1.0,0.4,0.3,1.4,5.9,1911960.0,NBA_2019
Edmond Sumner,23,9.1,0.3,0.4,1.0,0.7,0.4,0.7,2.8,1.0,0.4,1.0,0.5,0.2,1.1,2.9,449794.0,NBA_2019
T.J. Leaf,21,9.0,0.1,0.4,1.7,0.3,0.2,1.4,3.2,2.2,0.7,0.5,0.2,0.3,0.6,3.9,2407560.0,NBA_2019
Kyle O'Quinn,28,8.2,0.0,1.2,1.5,0.4,0.7,2.0,3.0,2.6,0.6,0.5,0.2,0.6,1.5,3.5,4449000.0,NBA_2019
Alize Johnson,22,4.6,0.1,0.1,0.3,0.3,0.0,1.1,1.1,1.4,0.3,0.6,0.1,0.2,0.5,0.9,838464.0,NBA_2019
Ike Anigbogu,20,2.0,0.0,0.3,0.0,0.0,0.3,0.7,1.0,1.0,0.3,0.0,0.0,0.3,0.0,0.0,1378242.0,NBA_2019
Joe Harris,27,30.2,2.4,2.4,4.9,1.4,1.6,3.1,9.8,3.8,0.7,1.8,0.5,0.2,2.4,13.7,8333333.0,NBA_2019
D'Angelo Russell,22,30.2,2.9,7.0,8.1,2.0,3.1,3.2,18.7,3.9,0.7,2.5,1.2,0.2,1.7,21.1,7019698.0,NBA_2019
Spencer Dinwiddie,25,28.1,1.8,4.6,5.4,4.2,2.2,2.1,12.2,2.4,0.4,5.2,0.6,0.3,2.8,16.8,1656092.0,NBA_2019
Caris LeVert,24,26.6,1.2,3.9,5.2,2.1,1.7,2.9,12.1,3.8,0.9,3.1,1.1,0.4,1.9,13.7,1702800.0,NBA_2019
Allen Crabbe,26,26.3,2.3,1.1,3.2,1.0,1.1,3.1,8.7,3.4,0.4,1.3,0.5,0.3,2.4,9.6,18500000.0,NBA_2019
Jarrett Allen,20,26.2,0.1,1.4,4.2,2.5,1.3,6.0,7.1,8.4,2.4,3.5,0.5,1.5,2.3,10.9,2034120.0,NBA_2019
DeMarre Carroll,32,25.4,1.6,1.3,3.4,2.7,1.1,4.2,8.6,5.2,1.0,3.6,0.5,0.1,1.7,11.1,15400000.0,NBA_2019
Rondae Hollis-Jefferson,24,20.9,0.2,1.6,3.4,2.0,1.2,3.8,8.3,5.3,1.4,3.1,0.7,0.5,1.8,8.9,2470357.0,NBA_2019
Jared Dudley,33,20.7,0.9,1.4,1.7,0.5,0.7,2.1,4.1,2.6,0.6,0.8,0.6,0.3,2.2,4.9,9530000.0,NBA_2019
Rodions Kurucs,20,20.5,0.9,0.8,3.2,1.1,1.2,3.0,7.1,3.9,0.9,1.5,0.7,0.4,2.3,8.5,1618320.0,NBA_2019
Treveon Graham,25,20.4,1.1,1.0,1.8,0.5,0.5,2.4,5.5,3.1,0.7,0.6,0.4,0.2,1.9,5.3,1512601.0,NBA_2019
Ed Davis,29,17.9,0.0,0.8,2.3,1.2,0.8,5.9,3.7,8.6,2.7,2.0,0.4,0.4,2.8,5.8,4449000.0,NBA_2019
Shabazz Napier,27,17.6,1.4,2.6,3.0,2.1,1.2,1.5,7.8,1.8,0.3,2.5,0.7,0.3,1.2,9.4,1942422.0,NBA_2019
